LTC,litecoin,"Litecoin",https://wallet.coffee//appwww/coins/ltc.svg,"via litecoin.org: Litecoin is a peer-to-peer Internet currency that enables instant, near-zero cost payments to anyone in the world. Litecoin is an open source, global payment network that is fully decentralized without any central authorities. Mathematics secures the network and empowers individuals to control their own finances. Litecoin features faster transaction confirmation times and improved storage efficiency than the leading math-based currency. With substantial industry support, trade volume and liquidity, Litecoin is a proven medium of commerce complementary to Bitcoin." 
DOGE,dogecoin,"Dogecoin",https://wallet.coffee//appwww/coins/doge.svg,"Dogecoin is a decentralized, peer-to-peer digital currency that enables you to easily send money online. Think of it as ""the internet currency.""" 
BTC,bitcoin,"Bitcoin",https://wallet.coffee//appwww/coins/btc.svg,"via Wikpedia: Bitcoin is a cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works without a central bank or single administrator. The network is peer-to-peer and transactions take place between users directly, without an intermediary. These transactions are verified by network nodes through the use of cryptography and recorded in a public distributed ledger called a blockchain. Bitcoin was invented by an unknown person or group of people under the name Satoshi Nakamoto and released as open-source software in 2009. " 
ETH,ethereum,"Ethereum",https://wallet.coffee//appwww/coins/eth.svg,"via Wikipedia: Ethereum is an open-source, public, blockchain-based distributed computing platform and operating system featuring smart contract (scripting) functionality. Along with Bitcoin, Ethereum is considered to be one of the pioneer platforms in distributed ledger and blockchain technology." 
BNB,binance-coin,"Binance Coin",https://wallet.coffee//appwww/coins/bnb.svg,"Binance aims to build a world-class crypto exchange, powering the future of crypto finance.	" 
VEN,vechain,"VeChain",https://wallet.coffee//appwww/coins/ven.svg,"VeChain aims to connect blockchain technology to the real world by providing a comprehensive governance structure, a robust economic model as well as advanced IoT integration.	" 
MKR,maker,"Maker",https://wallet.coffee//appwww/coins/mkr.svg,"Maker is a Decentralized Autonomous Organization that creates and insures the dai stablecoin on the Ethereum blockchain	" 
OMG,omisego,"OmiseGO",https://wallet.coffee//appwww/coins/omg.svg,"OmiseGO (OMG) is a public Ethereum-based financial technology for use in mainstream digital wallets" 
ZRX,0x,"0x",https://wallet.coffee//appwww/coins/zrx.svg,"The Protocol for Trading Tokens" 
TUSD,trueusd,"TrueUSD",https://wallet.coffee//appwww/coins/tusd.svg,"The TrustToken Platform aims to be the bridge between blockchains and real-world assets." 
BAT,basic-attention-token,"Basic Attention Token",https://wallet.coffee//appwww/coins/bat.svg,"The Basic Attention Token is the new token for the digital advertising industry." 
PAX,paxos-standard-token,"Paxos Standard",https://wallet.coffee//appwww/coins/pax.svg,"Paxos Standard is regulated crypto asset. It is fully collateralized 1:1 by the U.S. dollar, approved and regulated by the NYDFS, and enables instantaneous transactions." 
